,all_prices,avg_rating,ios_prices,list_price,name,num_voters,page_no,rank,rating,year
1545,"

			List: $24.99
		

New Amazon: $25.00

","
			5.40		",,"
			List: $24.99
		",Bravest Warriors Co-operative Dice Game,"
			137		",151,15030,"
			5.485		",-2014
1546,"

			List: $15.00
		

New Amazon: $10.95

","
			5.41		",,"
			List: $15.00
		",Bugs & Co,"
			171		",151,15031,"
			5.485		",-2011
1547,"

Lowest Amazon: $15.00


New Amazon: $89.95

","
			5.49		",,"
",Senator,"
			489		",151,15033,"
			5.485		",-2004
1548,"
","
			5.46		",,"
														
													[",Open Fire,"
			116		",151,15035,"
			5.485		",-1988
1549,"

New Amazon: $149.99

","
			5.46		","
Zwickern
(1999)
","
",Hector and Achilles,"
			458		",151,15047,"
			5.484		",-2003
1550,"

			List: $49.95
		

New Amazon: $26.98




","
			5.47		",,"
			List: $49.95
		",Rail Raiders Infinite,"
			206		",151,15050,"
			5.484		",-2017
1551,,"
			6.29		","
Balancing Aliens
(2003)
","]
					",Civility,"
			66		",151,15058,"
			5.484		",-2014
1552,,"
			5.42		","
Crisis: Tokyo
(2013)
","]
					",Dungeons & Dragons Adventure Game: Diablo II Edition,"
			114		",151,15064,"
			5.484		",-2000
1553,"

Lowest Amazon: $3.23


New Amazon: $14.50




","
			5.12		",,"
",CSI: Senses,"
			40		",151,15070,"
			5.484		",-2006
1554,,"
			5.46		","
Apples to Apples Mod
(2009)
","]
					",BoardGameGeek: The Card Game,"
			144		",151,15082,"
			5.484		",-2015
1555,,"
			5.36		",,"]
					",Goblins: Epic Death,"
			105		",151,15085,"
			5.484		",-2011
1556,,"
			5.22		","
Mercante in Fiera
(1755)
","]
					",Outpost: Siberia,"
			63		",151,15086,"
			5.484		",-2017
1557,,"
			5.24		",,"]
					",Top & Down,"
			65		",151,15089,"
			5.484		",-2011
1558,,"
			5.46		","
Pants on Fire!
(2009)
","]
					",Food Chain,"
			146		",151,15090,"
			5.484		",-2009
1559,"

Lowest Amazon: $20.00


New Amazon: $28.33

","
			5.18		",,"
",We Are Dead: Zombie Mall Massacre,"
			79		",151,15099,"
			5.483		",-2014
1560,"

New Amazon: $24.99




","
			5.28		","
Frog Rush
(2011)
","
",Firefly: Fistful of Credits,"
			72		",152,15103,"
			5.483		",-2015
1561,,"
			5.33		","
Push Over
(1981)
","]
					",Battlesuit,"
			120		",152,15106,"
			5.483		",-1983
1562,"

New Amazon: $13.99

","
			5.12		","
Megastar
(2006)
","
",Tears of the Dragon,"
			58		",152,15110,"
			5.483		",-2003
1563,"

			List: $24.95
		

New Amazon: $13.72




","
			5.50		",,"
			List: $24.95
		",Bear Valley,"
			313		",152,15118,"
			5.483		",-2016
1564,,"
			5.42		","
Knock Out
(1978)
","]
					",S-Evolution,"
			157		",152,15126,"
			5.483		",-2013
1565,"

New Amazon: $49.45




","
			5.48		","
Adventurer: Card Game
(2007)
","
",Sword & Skull,"
			726		",152,15145,"
			5.483		",-2005
1566,"

			List: $22.00
		

Used Amazon: $99.99

","
			5.51		",,"
			List: $22.00
		",Tripoley,"
			704		",152,15156,"
			5.483		",-1937
1567,,"
			4.94		","
Sid Meier's Civilization: The Boardgame
(2002)
","]
					",Star Wars: Angriff der Rebellen,"
			57		",152,15172,"
			5.482		",-2011
