,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
5792,La Grande Guerre 14-18,5.64,7.77,1999.00,5267.00,53.00,98.00,,New Amazon: $36.99,
5793,Karelia '44,5.64,7.33,2011.00,5268.00,53.00,115.00,,Triplanetary(1973),New Amazon: $36.99
5794,Triplanetary,5.64,7.00,1973.00,5269.00,53.00,144.00,49.95,,List: $49.95New Amazon: $64.95
5795,Ramparts,5.64,6.24,1993.00,5272.00,53.00,303.00,,,
5796,Islas Canarias,5.64,6.34,2009.00,5273.00,53.00,256.00,,,
5797,The Lost Cause,5.64,7.32,2010.00,5274.00,53.00,112.00,,,
5798,San Francisco,5.64,6.20,2000.00,5276.00,53.00,304.00,,List: $49.95Lowest Amazon: $9.37New Amazon: $14.64,
5799,Strada Romana,5.64,6.18,2009.00,5277.00,53.00,346.00,49.95,New Amazon: $14.64,List: $49.95Lowest Amazon: $9.37New Amazon: $14.64
5800,Gumshoe,5.64,7.34,1985.00,5281.00,53.00,120.00,,Heroes Of The World(2008),Used Amazon: $225.00
5801,Heroes Of The World,5.64,6.40,2008.00,5282.00,53.00,233.00,59.99,,List: $59.99New Amazon: $69.99
5802,Patronize,5.64,6.14,2013.00,5283.00,53.00,353.00,19.99,New Amazon: $10.75,List: $19.99Lowest Amazon: $2.31New Amazon: $10.75
5803,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,5.64,6.48,2003.00,5284.00,53.00,286.00,,Dragon Farkle(2015),
5804,Dragon Farkle,5.64,6.29,2015.00,5286.00,53.00,320.00,29.99,New Amazon: $29.78,List: $29.99Lowest Amazon: $23.99New Amazon: $29.78
5805,The New Dungeon!,5.64,6.14,1989.00,5288.00,53.00,460.00,,,
5806,Card City,5.64,6.09,2012.00,5289.00,53.00,385.00,,List: $19.99Used Amazon: $79.90,
5807,City Square Off,5.64,6.58,2011.00,5290.00,53.00,194.00,19.99,,List: $19.99Used Amazon: $79.90
5808,Day of Days: The Invasion of Normandy 1944,5.64,7.61,2015.00,5291.00,53.00,97.00,,,
5809,Blocky Mountains,5.64,7.04,2014.00,5292.00,53.00,126.00,,Rockband Manager(2010),
5810,Rockband Manager,5.64,6.04,2010.00,5294.00,53.00,454.00,19.95,,List: $19.95New Amazon: $17.95
5811,Transformers Trading Card Game,5.64,7.43,2018.00,5298.00,53.00,128.00,19.99,New Amazon: $18.78,List: $19.99Lowest Amazon: $11.81New Amazon: $18.78
5812,Dark Minions,5.64,6.14,2011.00,5300.00,53.00,386.00,,,New Amazon: $25.95
5813,A Week In Hell: The Battle of Hue,5.64,7.05,2010.00,5301.00,54.00,124.00,,,
5814,Rangers of Shadow Deep,5.64,9.07,2018.00,5302.00,54.00,74.00,,,
5815,Space Mission,5.64,6.08,2011.00,5303.00,54.00,414.00,,New Amazon: $49.99,
5816,Mafiozoo,5.64,7.13,2017.00,5304.00,54.00,146.00,,Brides & Bribes(2017),New Amazon: $49.99
5817,Brides & Bribes,5.64,7.24,2017.00,5305.00,54.00,134.00,,Doctor Who: Solitaire Story Game (Second edition)(2017),New Amazon: $54.99
5818,Doctor Who: Solitaire Story Game (Second edition),5.64,8.88,2017.00,5306.00,54.00,88.00,,New Amazon: $94.34,
5819,Stone Garden,5.64,6.79,2014.00,5307.00,54.00,164.00,,Hey Waiter!(2010),New Amazon: $94.34
5820,Hey Waiter!,5.64,6.27,2010.00,5308.00,54.00,278.00,,,Lowest Amazon: $8.50New Amazon: $13.90
5821,"The Last Success: Napoleon's March to Vienna, 1809",5.64,7.65,2011.00,5310.00,54.00,89.00,,The Stonebound Saga(2018),
5822,Pirates on the High Seas,5.64,6.74,2006.00,5313.00,54.00,155.00,,,
5823,Medieval,5.64,6.19,2003.00,5316.00,54.00,383.00,,New Amazon: $37.95,
5824,Warriors & Traders,5.64,6.29,2011.00,5317.00,54.00,306.00,,Krosmaster: Arena – Duel Pack 1(2013),New Amazon: $37.95
5825,Krosmaster: Arena – Duel Pack 1,5.64,7.19,2013.00,5318.00,54.00,122.00,,,Lowest Amazon: $12.99New Amazon: $18.92
